2395320;;Pea vastu! Meie armastame sind ikkagi!!;8.04.2011;Andrus;;0;239407;0;88.196.68.89;0;1;0
2395319;;ära ole nii silmakirjalik;8.04.2011;estilile;;0;239407;0;217.159.210.154;0;1;0
2395318;;Vastikud norralased ei saa oma kahjurõõmus isegi last rahule jäetud??? Autud mehed...;8.04.2011;Vait, norra koerad!;;0;239407;0;88.196.81.183;0;1;0
2395317;;"senikaua, kuni küsimus ei puutu norrakasse, on teised kõik valetajad ja manipuleerijad. Tundub ,et Veerpalu juhtum on Norra siseasi. ""Kui suured võiksid olla saamata jäänud medalid"". Norrakad võiksid endale jätta suusad ja omavahel jagada. Ihned ja silmakirjalikud inimesed. Nende valu on korvamatu. Mitte mingit alternatiivset varianti tekkinud olukorras. See pole meie mees, see on pätt. Aeg oleks tõhustada norra suusatajate lubatud ja lubamatu ravi kontrollimist.";8.04.2011;Jy;;0;239407;0;194.126.98.26;0;1;0
2395316;;norrakate nn astmahaiged on tõesti üliinimesed,miks see kuradi professor nende ülivõimeid<br />ei uuri?? HÄBEMATUS!;8.04.2011;mis mõttes professor;;0;239407;0;193.40.56.22;0;1;0
2395315;;Asi ju lihtne veerpalu sööb iga päev taleggi ahjukana mis on hormoonidel üles kasvatatud hammustab peale seda hääd leiba ja loputab saku originaaliga alla, sealt ka see hormoonide kõrge tase, nii et tootjatelt aru pärima;8.04.2011;broiler;;0;239407;0;78.28.73.209;0;1;0
2395314;;Vana aga aegumatu.;8.04.2011;SSS;;0;239407;0;84.50.9.81;0;1;0
2395313;;ise ka oma tekstist aru saad? eesti keele järelaitamise tundide peale pole mõelnud?;8.04.2011;to 13:29, 8. aprill, 2011;;0;239407;0;77.233.84.30;0;1;0
2395312;; Kas elan selle kõik üle ? Kuidas ?;8.04.2011;fänn;;0;239407;0;85.89.32.206;0;1;0
2395311;;sai sellele sellile maja ehitatud...no tema nüüd küll viimane kellel öigust teisi mudaga loopida;8.04.2011;Estil ,ja sina oled aumees???Irw;;0;240140;0;84.227.174.76;1;1;0
